id,make,model,year,owner
3D7JB1EP5BG782987,Maserati,228,1989,Bernetta Lorain
WAUKH98EX8A731849,Aston Martin,V8 Vantage,2011,Chrisy Buntain
1FMNE1BW3AD667419,GMC,Sonoma,1994,Don Fitzjohn
WA1VGAFP1FA872356,Infiniti,QX56,2009,Trixi Orta
SCFEDCAD6BG166791,Audi,80,1989,Bobbye McKinlay
WBAVA33518P747201,Mercedes-Benz,CL-Class,2008,Bennie Mathissen
WAULT58E45A466613,Dodge,Intrepid,2000,Emory Bisgrove
3GYT4MEF2BG204894,Volkswagen,rio,1997,Agathe Kleinsinger
JM1NC2JF3C0995583,Volvo,V40,2000,Vinni Franciskiewicz
WAUKF68E55A057612,GMC,Sonoma,2003,Theresita McGannon
3C6JD6CT0CG119854,Chevrolet,Corvette,1997,Nanci Blackborow
1G6DG577190894426,Mitsubishi,Chariot,1992,Marilee Thelwll
5TFCY5F11CX610617,Lincoln,Continental,1988,Clemens Whitta
1G4PP5SK2E4694854,Mitsubishi,Eclipse,2004,Elvyn Jankin
5UXZV4C51D0783857,Chevrolet,Corvette,1957,Lorraine Riby
SCBLE47K18C638882,Subaru,Forester,2008,Caye Billyeald
1FTNX2A50AE505206,Pontiac,GTO,1964,Guido Laxson
JM1NC2EF3A0249710,Volkswagen,New Beetle,2000,Tyler Roast
SCFEBBBK2BG178708,Mazda,626,1999,Darda Fagge
3VW507AT7FM726593,Mercury,Grand Marquis,1990,Karlyn Grinley
WAUMR44E17N652592,Mitsubishi,Chariot,1988,Dredi Addinall
KMHGC4DD4EU192187,Toyota,Tundra,2007,Ceil Tolworth
WBALZ5C59CD531876,Lamborghini,Gallardo,2005,Chlo Kliesl
WAUVT54B52N513494,Kia,Carens,2009,Andria Roffe
WA1MKBFPXAA948214,Dodge,Ram Van 3500,1998,Emelyne Petranek
WBA3B1G54EN901345,Scion,tC,2005,Kipp Matuschek
WAURVAFA7AN820043,Mercedes-Benz,S-Class,2000,Myer Carrane
3VWPG3AG6AM940113,Pontiac,Firefly,1990,Sibelle Mosen
WBAVT13506K241559,Dodge,Dakota Club,2006,Susanne Mettericke
WBAFU7C50BC747692,Ford,Expedition EL,2012,Tandie Duell
KMHTC6AD8EU971333,Chevrolet,Caprice Classic,1994,Gretel MacCambridge
1GKS1AEC6FR362955,Volkswagen,Passat,1994,Peadar Yaneev
JTDZN3EU7E3691619,Dodge,Colt,1994,Aindrea Craise
WAUKD78P27A373095,Mercury,Mountaineer,2001,Nichols Kilgannon
1G6AS5S32E0820917,Lincoln,MKZ,2010,Glendon Stringman
JN1AJ0HP1BM768085,Volvo,V40,2002,Carolan Coltman
2FMHK6CT3AB180735,Daihatsu,Rocky,1992,Ewell Rubin
1N4AL2APXCN777544,Pontiac,Grand Prix,1965,Becca Ashwell
5UXFA13595L649921,Acura,NSX,2000,Talbert Jerrome
WBAKF5C5XBE735728,Toyota,Supra,1993,Darius Prothero
1C3CDFBB0FD930599,Kia,Rio,2013,Zachariah Estabrook
WVWAB7AJ2DW476848,Mercedes-Benz,500SEC,1993,Corabel Spinas
5XXGM4A78DG457049,Volkswagen,Golf,1996,Nikolas Kermath
JHMZE2H36BS923754,Mercedes-Benz,SL-Class,2007,Brook Smeeton
5TDDK3DC1BS116776,Pontiac,Safari,1989,Wynne Cotherill
5UMCN93472L902854,Chevrolet,Silverado 2500,2007,Lucilia Kovnot
1GD22ZCG5CZ041591,Chevrolet,Silverado 2500,2001,Twila Courtois
1D7CW2GK7AS475252,Mercury,Grand Marquis,1998,Oriana Adamson
1C6RD7JT5CS733562,Ford,Taurus,1994,Allard Burley
5XYKT3A16CG867247,Ford,Laser,1987,Arman Munkton
SCFBF03B48G017165,Hyundai,Scoupe,1992,Osmund Adamthwaite
1C6RD7LP9CS929066,Mazda,Mazda6,2013,Kim Coweuppe
3VWML7AJ4EM201426,Mitsubishi,Lancer,2007,Delilah Bethell
1GYS3AKJ5FR583594,Mitsubishi,Lancer Evolution,2004,Lark Ecclestone
3D7JV1EP3BG937382,MINI,Clubman,2010,Donielle MacEvilly
KL4CJDSB4DB602341,Mazda,929,1991,Hube Peatt
1D7RW3GK5AS861393,Mercedes-Benz,S-Class,1989,Amalea Faussett
WAUMR44E17N766687,Alfa Romeo,Spider,1992,Klaus Sheavills
JTEBU5JRXA5687141,Pontiac,Firebird,2001,Roderick Beavis
1G6DL8EV2A0804722,Mercedes-Benz,W201,1985,Vin Lyte
JN1BY0AR9AM674062,Dodge,Viper,1992,Devin Gorham
TRUSC28N331898965,Lexus,GS,1996,Weston Dockrell
WUARL48H65K839195,Buick,LaCrosse,2009,Ewen Checcuzzi
1C3BCBFG5CN204806,GMC,Envoy,1999,Sada McRae
2G4WS55J641254272,Cadillac,Escalade ESV,2003,Carny Filipputti
2G4GR5GX9E9053597,Mitsubishi,Sigma,1989,Humbert Gout
1FTMF1CW6AF573714,Chevrolet,Silverado 2500,2006,Rodge Blindt
WBA3T7C56FP698289,Dodge,Dakota Club,2000,Shepperd Acock
